,access_time,comments,is_vid,num_likes,post_time,poster,url,view_count
0,2018-02-13 10:58:41.769613,"#Repost @_fourgoodpups_ (@get_repost)
・・・
#Repost @my_dexy_dex
@freethechi has initiated a new endeavor that will hopefully draw attention to the countless CHIs sitting in high kill shelters and help them get noticed or at a minimum buy them time while they are being networked by the wonderful rescue community. We intruduce Lily, the first recipient of the @freethechi bandana. Repost @northcentralshelter. Say hello to sweet, little Lily!
Lily is an adorable, 8 pounds, 8 years old girl who is quite nervous in the shelter, but will be your adoring friend in exchange for treats and belly rubs. We believe she will thrive in a home that can help build her confidence and work on leash training. She seems to perk up when dogs are around and has been kenneled with other small dogs and done well.
Lily has been waiting at the shelter since Sept. 17, 2017 when she was surrendered with 3 other dogs (#A1729507 4 yrs old, female Chihuahua also still available).
She wants a home where she can cuddle in a warm bed, watch Netflix, eat all the treats, and chill! Not too much to ask for this little doe. Please share or come give Lily a home in time for the holidays!
💗LILY #A1729505
--------------------
All North Central animals come spayed/neutered, microchipped and current on all their shots (including rabies). North Central LA City shelter; 3201 Lacy St., Los Angeles, CA; 213­-485­-5767.
---------------
#adoptme #rescueme #chihuahualove #chihuahua #smalldogbigheart #adoptlove #sweetsenior #laanimalservices #losangeles #seniordogsrock #takemehome #sharingiscaring #letsfreethischi #adoptdontshop #fosteringsaveslives #rescueneeded #seniordogsrock #savealifeadoptashelterpet",False,28,2017-12-22T21:13:22.000Z,gurl_fromcali,https://www.instagram.com/p/BdBOliQFCPn/?tagged=adoptlove,0
1,2018-02-13 10:58:41.769613,❤️❤️❤️,False,28,2017-12-22T21:13:22.000Z,gurl_fromcali,https://www.instagram.com/p/BdBOliQFCPn/?tagged=adoptlove,0
2,2018-02-13 10:58:41.769613,Prayers,False,28,2017-12-22T21:13:22.000Z,gurl_fromcali,https://www.instagram.com/p/BdBOliQFCPn/?tagged=adoptlove,0
0,2018-02-13 10:58:49.097277,"Sapphire and her new mom were meant to be!! Happy adoption day!
You can find all of our adoptable animals, as well as our Adoption Center hours on our website: FriendsofStrays.com

#adopt #rescue #adoptdontshop #adoptlocal #fos #fortheanimals #animalshelter #tampabay #stpete #stpetersburg #fl #pinellas #keepstpetelocal #ilovemyrescue #animalrescue #supportfos #shelterpetlove #startastoryadopt #adoptlove #iadopted #adoptspot #savinglives",False,45,2017-12-22T20:54:21.000Z,friendsofstrays,https://www.instagram.com/p/BdBMaPADiK1/?tagged=adoptlove,0
0,2018-02-13 10:58:55.730165,"Kreme is one of the many kittens we have available for adoption! Kreme is 4.5-months old, loves to play, and enjoys having visitors. We will be CLOSED Sunday-Tuesday for the holiday, so stop by the center today or tomorrow and meet Kreme and our other adoptable animals! #adoptdontshop #adoptablekittens #adoptlove #kittiesofinstagram #kittylove #catsofinstagram #rescuedismyfavoritebreed #rescuekitty #rescuekittensofinstagram #aahs",False,314,2017-12-22T20:54:13.000Z,athenshumanesociety,https://www.instagram.com/p/BdBMZK4HG3u/?tagged=adoptlove,0
0,2018-02-13 10:59:01.999146,"Supergirl is on her way home! Happy gotcha day!! You can find all of our adoptable animals, as well as our Adoption Center hours on our website: FriendsofStrays.com

#adopt #rescue #adoptdontshop #adoptlocal #fos #fortheanimals #animalshelter #tampabay #stpete #stpetersburg #fl #pinellas #keepstpetelocal #ilovemyrescue #animalrescue #supportfos #shelterpetlove #startastoryadopt #adoptlove #iadopted #adoptspot #savinglives",False,44,2017-12-22T20:52:33.000Z,friendsofstrays,https://www.instagram.com/p/BdBMNDhDsEc/?tagged=adoptlove,0
0,2018-02-13 10:59:08.509057,"Yoko has found her forever home with Anne!!! Congratulations!!! You can find all of our adoptable animals, as well as our Adoption Center hours on our website: FriendsofStrays.com

#adopt #rescue #adoptdontshop #adoptlocal #fos #fortheanimals #animalshelter #tampabay #stpete #stpetersburg #fl #pinellas #keepstpetelocal #ilovemyrescue #animalrescue #supportfos #shelterpetlove #startastoryadopt #adoptlove #iadopted #adoptspot #savinglives",False,61,2017-12-22T20:36:15.000Z,friendsofstrays,https://www.instagram.com/p/BdBKVnZDYPE/?tagged=adoptlove,0
1,2018-02-13 10:59:08.509057,YEEEEEESSS!!!,False,61,2017-12-22T20:36:15.000Z,friendsofstrays,https://www.instagram.com/p/BdBKVnZDYPE/?tagged=adoptlove,0
2,2018-02-13 10:59:08.509057,One of my most favorite fosters. Congratulations. 💕,False,61,2017-12-22T20:36:15.000Z,friendsofstrays,https://www.instagram.com/p/BdBKVnZDYPE/?tagged=adoptlove,0
0,2018-02-13 10:59:15.257164,"Wonder Woman has left the building!
You can find all of our adoptable animals, as well as our Adoption Center hours on our website: FriendsofStrays.com

#adopt #rescue #adoptdontshop #adoptlocal #fos #fortheanimals #animalshelter #tampabay #stpete #stpetersburg #fl #pinellas #keepstpetelocal #ilovemyrescue #animalrescue #supportfos #shelterpetlove #startastoryadopt #adoptlove #iadopted #adoptspot #savinglives",False,56,2017-12-22T20:33:21.000Z,friendsofstrays,https://www.instagram.com/p/BdBKAVUjaY8/?tagged=adoptlove,0
