,access_time,comments,is_vid,num_likes,post_time,poster,url,view_count
0,2018-02-12 21:09:47.288772,"@Regranned from @ratedarf - #Repost @northcentralshelter
・・・
Hi! My name is Rose. I was given such a pretty name because while at first I may appear shy, once I get to know & trust- I really open up. 😉 Willing to play and show you my love, affection & beauty! Also my pink markings helped inspired my name—or so I was told. ;) I am super attentive to whomever’s on my team—and that’s what I’m looking for - good, friendly, loving teammates to call my own family. I don’t like to brag, but I learn quickly, know how to sit, and I can be a real amazing goofy loveball once I know you.

Rose is a sweet and lovely 4 years old, 58 pounds, brown brindle girl who has been waiting at the shelter for her special someone since Sept 25, 2017. Don't let this Sweetheart wait another day-- come meet her! Or help her to find her home by sharing! 
Rose 🌹💖 #A1731259
------------------------
All North Central animals come spayed/neutered, microchipped and current on all their shots (including rabies). North Central LA City shelter; ‪3201 Lacy St., Los Angeles, CA‬; 213-485-5767.
--------------------------------
#adoptme #fosterme #brindlebabe  #happydoghappylife #startastoryadopt #prettyasarose #pickme
#adoptlove #takemehome #friendforlife #adoptadog #shelterdog #helpashelterdog #laanimalservices #losangeles #heavenlycreaturesphotography #sharingiscaring - #regrann",False,3,2018-02-02T07:25:48.000Z,aliubsayswhoa,https://www.instagram.com/p/Ber5RAdhRhw/?tagged=adoptlove,0
0,2018-02-12 21:09:53.524358,"What a crew! Get a FREE WALK with promo code “MELISSA6977” on the Wag Dog Walking App

#dog#dailydog#feature#nyc#dogsofnyc #dogstagram #dogwalking #woofpack #adoptlove #adoptionrocks #adoptnyc #rescuedogsofinstagram #rescued #woof",False,57,2018-02-02T05:57:05.000Z,brooklyndoghouse,https://www.instagram.com/p/BervHJaAyGz/?tagged=adoptlove,0
1,2018-02-12 21:09:53.524358,いいですねー！,False,57,2018-02-02T05:57:05.000Z,brooklyndoghouse,https://www.instagram.com/p/BervHJaAyGz/?tagged=adoptlove,0
2,2018-02-12 21:09:53.524358,AWWWW!🐶,False,57,2018-02-02T05:57:05.000Z,brooklyndoghouse,https://www.instagram.com/p/BervHJaAyGz/?tagged=adoptlove,0
3,2018-02-12 21:09:53.524358,brooklyndoghouse <3,False,57,2018-02-02T05:57:05.000Z,brooklyndoghouse,https://www.instagram.com/p/BervHJaAyGz/?tagged=adoptlove,0
4,2018-02-12 21:09:53.524358,✅One of the best photos👍.,False,57,2018-02-02T05:57:05.000Z,brooklyndoghouse,https://www.instagram.com/p/BervHJaAyGz/?tagged=adoptlove,0
0,2018-02-12 21:09:59.385166,"Sunny is off to his new forever home. His new dad can't wait to see him!

www.savingonelife.org #2018adopted #2018 #ADOPTED #savingonelife #adoptdontshop #adopt #AdoptLove  #availablenow #dontmissout #dontmissoutonlove #furreverlove #adorable #kittenlove #adoptme #pickme #purrfect #Adoptnow #fosteringsaveslives #kittenssaved  #kittensofinstagram #catsofinstagram #rescueneverends #savealife #imcute #rescuekittensrule  #azrescuekittens",False,120,2018-02-02T05:39:13.000Z,savingonelife,https://www.instagram.com/p/BertERdHaxZ/?tagged=adoptlove,0
1,2018-02-12 21:09:59.385166,❤️❤️❤️❤️❤️❤️❤️❤️❤️,False,120,2018-02-02T05:39:13.000Z,savingonelife,https://www.instagram.com/p/BertERdHaxZ/?tagged=adoptlove,0
2,2018-02-12 21:09:59.385166,"Oh, my! He looks soooo happy! He reminded me of my grey tabby that past away when I lived in Maricopa...",False,120,2018-02-02T05:39:13.000Z,savingonelife,https://www.instagram.com/p/BertERdHaxZ/?tagged=adoptlove,0
3,2018-02-12 21:09:59.385166,Best adoption pic ever!,False,120,2018-02-02T05:39:13.000Z,savingonelife,https://www.instagram.com/p/BertERdHaxZ/?tagged=adoptlove,0
